clean,corrupted,correct_token,incorrect_token,transitive_verb,intransitive_verb,template,template_text
After the teacher vanished the doctor who called the office,After the teacher frightened the doctor who called the office,was,for,frightened,vanished,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
As the lawyer attacked the singer who forgot the keys,As the lawyer laughed the singer who forgot the keys,for,was,attacked,laughed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the lawyer laughed the singer who forgot the keys,As the lawyer attacked the singer who forgot the keys,was,for,attacked,laughed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
After the scientist visited the neighbor who won the prize,After the scientist laughed the neighbor who won the prize,for,was,visited,laughed,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the scientist laughed the neighbor who won the prize,After the scientist visited the neighbor who won the prize,was,for,visited,laughed,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
While the student chased the tourist who missed the train,While the student vanished the tourist who missed the train,for,was,chased,vanished,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the student vanished the tourist who missed the train,While the student chased the tourist who missed the train,was,for,chased,vanished,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
When the sailor visited the neighbor who called the office,When the sailor paused the neighbor who called the office,for,was,visited,paused,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the sailor paused the neighbor who called the office,When the sailor visited the neighbor who called the office,was,for,visited,paused,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the driver pulled the man who paid the bill,When the driver panicked the man who paid the bill,for,was,pulled,panicked,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the driver panicked the man who paid the bill,When the driver pulled the man who paid the bill,was,for,pulled,panicked,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
While the tourist mocked the chef who spoke too softly,While the tourist departed the chef who spoke too softly,for,was,mocked,departed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the tourist departed the chef who spoke too softly,While the tourist mocked the chef who spoke too softly,was,for,mocked,departed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
After the doctor questioned the chef who told bad jokes,After the doctor sighed the chef who told bad jokes,for,was,questioned,sighed,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the doctor sighed the chef who told bad jokes,After the doctor questioned the chef who told bad jokes,was,for,questioned,sighed,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
While the criminal grabbed the teacher who lost the ticket,While the criminal nodded the teacher who lost the ticket,for,was,grabbed,nodded,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the criminal nodded the teacher who lost the ticket,While the criminal grabbed the teacher who lost the ticket,was,for,grabbed,nodded,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
As the scientist watched the doctor who won the prize,As the scientist departed the doctor who won the prize,for,was,watched,departed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the scientist departed the doctor who won the prize,As the scientist watched the doctor who won the prize,was,for,watched,departed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
When the lawyer greeted the student who won the prize,When the lawyer slept the student who won the prize,for,was,greeted,slept,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the lawyer slept the student who won the prize,When the lawyer greeted the student who won the prize,was,for,greeted,slept,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
While the tourist supported the teacher who left early,While the tourist collapsed the teacher who left early,for,was,supported,collapsed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the tourist collapsed the teacher who left early,While the tourist supported the teacher who left early,was,for,supported,collapsed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
As the pilot ignored the clerk who won the prize,As the pilot sighed the clerk who won the prize,for,was,ignored,sighed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the pilot sighed the clerk who won the prize,As the pilot ignored the clerk who won the prize,was,for,ignored,sighed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
When the doctor called the doctor who made a mistake,When the doctor paused the doctor who made a mistake,for,was,called,paused,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the doctor paused the doctor who made a mistake,When the doctor called the doctor who made a mistake,was,for,called,paused,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
While the pilot arrested the chef who told bad jokes,While the pilot danced the chef who told bad jokes,for,was,arrested,danced,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the pilot danced the chef who told bad jokes,While the pilot arrested the chef who told bad jokes,was,for,arrested,danced,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
When the sailor fired the singer who shouted too loud,When the sailor hesitated the singer who shouted too loud,for,was,fired,hesitated,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the sailor hesitated the singer who shouted too loud,When the sailor fired the singer who shouted too loud,was,for,fired,hesitated,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
As the chef mocked the tourist who missed the train,As the chef blinked the tourist who missed the train,for,was,mocked,blinked,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the chef blinked the tourist who missed the train,As the chef mocked the tourist who missed the train,was,for,mocked,blinked,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
After the driver frightened the doctor who lost the ticket,After the driver slept the doctor who lost the ticket,for,was,frightened,slept,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the driver slept the doctor who lost the ticket,After the driver frightened the doctor who lost the ticket,was,for,frightened,slept,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
As the chef rescued the clerk who told bad jokes,As the chef shouted the clerk who told bad jokes,for,was,rescued,shouted,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the chef shouted the clerk who told bad jokes,As the chef rescued the clerk who told bad jokes,was,for,rescued,shouted,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the doctor blamed the writer who broke the rule,As the doctor wandered the writer who broke the rule,for,was,blamed,wandered,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the doctor wandered the writer who broke the rule,As the doctor blamed the writer who broke the rule,was,for,blamed,wandered,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
While the farmer frightened the doctor who missed the train,While the farmer relaxed the doctor who missed the train,for,was,frightened,relaxed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the farmer relaxed the doctor who missed the train,While the farmer frightened the doctor who missed the train,was,for,frightened,relaxed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
When the scientist supported the singer who missed the train,When the scientist collapsed the singer who missed the train,for,was,supported,collapsed,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the scientist collapsed the singer who missed the train,When the scientist supported the singer who missed the train,was,for,supported,collapsed,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the student visited the tourist who broke the rule,When the student sighed the tourist who broke the rule,for,was,visited,sighed,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the student sighed the tourist who broke the rule,When the student visited the tourist who broke the rule,was,for,visited,sighed,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
After the soldier chased the student who made a mistake,After the soldier sighed the student who made a mistake,for,was,chased,sighed,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the soldier sighed the student who made a mistake,After the soldier chased the student who made a mistake,was,for,chased,sighed,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
When the teacher pulled the teacher who told bad jokes,When the teacher panicked the teacher who told bad jokes,for,was,pulled,panicked,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the teacher panicked the teacher who told bad jokes,When the teacher pulled the teacher who told bad jokes,was,for,pulled,panicked,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
As the farmer followed the student who paid the bill,As the farmer vanished the student who paid the bill,for,was,followed,vanished,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the farmer vanished the student who paid the bill,As the farmer followed the student who paid the bill,was,for,followed,vanished,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
While the scientist pulled the gardener who lost the ticket,While the scientist panicked the gardener who lost the ticket,for,was,pulled,panicked,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the scientist panicked the gardener who lost the ticket,While the scientist pulled the gardener who lost the ticket,was,for,pulled,panicked,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
When the pilot helped the clerk who waited outside,When the pilot laughed the clerk who waited outside,for,was,helped,laughed,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the pilot laughed the clerk who waited outside,When the pilot helped the clerk who waited outside,was,for,helped,laughed,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
As the lawyer grabbed the man who broke the rule,As the lawyer relaxed the man who broke the rule,for,was,grabbed,relaxed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the lawyer relaxed the man who broke the rule,As the lawyer grabbed the man who broke the rule,was,for,grabbed,relaxed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the driver followed the neighbor who won the prize,As the driver shouted the neighbor who won the prize,for,was,followed,shouted,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the driver shouted the neighbor who won the prize,As the driver followed the neighbor who won the prize,was,for,followed,shouted,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
While the artist grabbed the child who called the office,While the artist collapsed the child who called the office,for,was,grabbed,collapsed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the artist collapsed the child who called the office,While the artist grabbed the child who called the office,was,for,grabbed,collapsed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the teacher supported the tourist who called the office,While the teacher departed the tourist who called the office,for,was,supported,departed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the teacher departed the tourist who called the office,While the teacher supported the tourist who called the office,was,for,supported,departed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the detective pulled the neighbor who waited outside,While the detective danced the neighbor who waited outside,for,was,pulled,danced,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the detective danced the neighbor who waited outside,While the detective pulled the neighbor who waited outside,was,for,pulled,danced,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
As the farmer grabbed the student who answered late,As the farmer vanished the student who answered late,for,was,grabbed,vanished,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the farmer vanished the student who answered late,As the farmer grabbed the student who answered late,was,for,grabbed,vanished,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the detective ignored the neighbor who broke the rule,As the detective smiled the neighbor who broke the rule,for,was,ignored,smiled,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the detective smiled the neighbor who broke the rule,As the detective ignored the neighbor who broke the rule,was,for,ignored,smiled,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
When the pilot pushed the neighbor who paid the bill,When the pilot vanished the neighbor who paid the bill,for,was,pushed,vanished,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the pilot vanished the neighbor who paid the bill,When the pilot pushed the neighbor who paid the bill,was,for,pushed,vanished,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
As the farmer fired the gardener who made a mistake,As the farmer wandered the gardener who made a mistake,for,was,fired,wandered,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the farmer wandered the gardener who made a mistake,As the farmer fired the gardener who made a mistake,was,for,fired,wandered,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
After the criminal pushed the man who made a mistake,After the criminal arrived the man who made a mistake,for,was,pushed,arrived,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the criminal arrived the man who made a mistake,After the criminal pushed the man who made a mistake,was,for,pushed,arrived,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
As the soldier insulted the doctor who forgot the keys,As the soldier stumbled the doctor who forgot the keys,for,was,insulted,stumbled,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the soldier stumbled the doctor who forgot the keys,As the soldier insulted the doctor who forgot the keys,was,for,insulted,stumbled,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the driver rescued the writer who shouted too loud,As the driver panicked the writer who shouted too loud,for,was,rescued,panicked,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the driver panicked the writer who shouted too loud,As the driver rescued the writer who shouted too loud,was,for,rescued,panicked,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
While the lawyer followed the driver who forgot the keys,While the lawyer danced the driver who forgot the keys,for,was,followed,danced,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the lawyer danced the driver who forgot the keys,While the lawyer followed the driver who forgot the keys,was,for,followed,danced,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the lawyer supported the student who broke the rule,While the lawyer collapsed the student who broke the rule,for,was,supported,collapsed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the lawyer collapsed the student who broke the rule,While the lawyer supported the student who broke the rule,was,for,supported,collapsed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
When the artist frightened the writer who paid the bill,When the artist blinked the writer who paid the bill,for,was,frightened,blinked,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the artist blinked the writer who paid the bill,When the artist frightened the writer who paid the bill,was,for,frightened,blinked,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
As the doctor hired the gardener who wrote a letter,As the doctor departed the gardener who wrote a letter,for,was,hired,departed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the doctor departed the gardener who wrote a letter,As the doctor hired the gardener who wrote a letter,was,for,hired,departed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
When the driver helped the writer who shouted too loud,When the driver collapsed the writer who shouted too loud,for,was,helped,collapsed,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the driver collapsed the writer who shouted too loud,When the driver helped the writer who shouted too loud,was,for,helped,collapsed,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the doctor helped the teacher who left early,When the doctor waited the teacher who left early,for,was,helped,waited,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the doctor waited the teacher who left early,When the doctor helped the teacher who left early,was,for,helped,waited,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
As the scientist arrested the child who made a mistake,As the scientist danced the child who made a mistake,for,was,arrested,danced,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the scientist danced the child who made a mistake,As the scientist arrested the child who made a mistake,was,for,arrested,danced,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
While the soldier photographed the woman who called the office,While the soldier panicked the woman who called the office,for,was,photographed,panicked,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the soldier panicked the woman who called the office,While the soldier photographed the woman who called the office,was,for,photographed,panicked,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
As the student pushed the doctor who shouted too loud,As the student collapsed the doctor who shouted too loud,for,was,pushed,collapsed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the student collapsed the doctor who shouted too loud,As the student pushed the doctor who shouted too loud,was,for,pushed,collapsed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
When the student frightened the neighbor who shouted too loud,When the student stumbled the neighbor who shouted too loud,for,was,frightened,stumbled,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the student stumbled the neighbor who shouted too loud,When the student frightened the neighbor who shouted too loud,was,for,frightened,stumbled,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
After the criminal visited the woman who told bad jokes,After the criminal vanished the woman who told bad jokes,for,was,visited,vanished,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the criminal vanished the woman who told bad jokes,After the criminal visited the woman who told bad jokes,was,for,visited,vanished,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the artist attacked the child who forgot the keys,After the artist nodded the child who forgot the keys,for,was,attacked,nodded,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the artist nodded the child who forgot the keys,After the artist attacked the child who forgot the keys,was,for,attacked,nodded,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
As the pilot photographed the neighbor who lost the ticket,As the pilot sighed the neighbor who lost the ticket,for,was,photographed,sighed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the pilot sighed the neighbor who lost the ticket,As the pilot photographed the neighbor who lost the ticket,was,for,photographed,sighed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
While the criminal chased the child who broke the rule,While the criminal panicked the child who broke the rule,for,was,chased,panicked,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the criminal panicked the child who broke the rule,While the criminal chased the child who broke the rule,was,for,chased,panicked,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
After the teacher ignored the singer who missed the train,After the teacher shouted the singer who missed the train,for,was,ignored,shouted,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the teacher shouted the singer who missed the train,After the teacher ignored the singer who missed the train,was,for,ignored,shouted,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
When the sailor pushed the woman who lost the ticket,When the sailor shouted the woman who lost the ticket,for,was,pushed,shouted,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the sailor shouted the woman who lost the ticket,When the sailor pushed the woman who lost the ticket,was,for,pushed,shouted,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
As the doctor arrested the tourist who spoke too softly,As the doctor stumbled the tourist who spoke too softly,for,was,arrested,stumbled,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the doctor stumbled the tourist who spoke too softly,As the doctor arrested the tourist who spoke too softly,was,for,arrested,stumbled,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
When the criminal shot the child who paid the bill,When the criminal smiled the child who paid the bill,for,was,shot,smiled,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the criminal smiled the child who paid the bill,When the criminal shot the child who paid the bill,was,for,shot,smiled,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the detective photographed the student who wrote a letter,When the detective departed the student who wrote a letter,for,was,photographed,departed,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the detective departed the student who wrote a letter,When the detective photographed the student who wrote a letter,was,for,photographed,departed,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
While the lawyer betrayed the gardener who spoke too softly,While the lawyer danced the gardener who spoke too softly,for,was,betrayed,danced,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the lawyer danced the gardener who spoke too softly,While the lawyer betrayed the gardener who spoke too softly,was,for,betrayed,danced,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the tourist betrayed the woman who broke the rule,While the tourist laughed the woman who broke the rule,for,was,betrayed,laughed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the tourist laughed the woman who broke the rule,While the tourist betrayed the woman who broke the rule,was,for,betrayed,laughed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the student mocked the clerk who lost the ticket,While the student nodded the clerk who lost the ticket,for,was,mocked,nodded,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the student nodded the clerk who lost the ticket,While the student mocked the clerk who lost the ticket,was,for,mocked,nodded,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
After the scientist arrested the neighbor who answered late,After the scientist wandered the neighbor who answered late,for,was,arrested,wandered,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the scientist wandered the neighbor who answered late,After the scientist arrested the neighbor who answered late,was,for,arrested,wandered,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
As the lawyer chased the doctor who called the office,As the lawyer vanished the doctor who called the office,for,was,chased,vanished,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the lawyer vanished the doctor who called the office,As the lawyer chased the doctor who called the office,was,for,chased,vanished,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
While the doctor ignored the chef who shouted too loud,While the doctor relaxed the chef who shouted too loud,for,was,ignored,relaxed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the doctor relaxed the chef who shouted too loud,While the doctor ignored the chef who shouted too loud,was,for,ignored,relaxed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the scientist rescued the tourist who broke the rule,While the scientist collapsed the tourist who broke the rule,for,was,rescued,collapsed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the scientist collapsed the tourist who broke the rule,While the scientist rescued the tourist who broke the rule,was,for,rescued,collapsed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
After the sailor punished the gardener who spoke too softly,After the sailor stumbled the gardener who spoke too softly,for,was,punished,stumbled,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the sailor stumbled the gardener who spoke too softly,After the sailor punished the gardener who spoke too softly,was,for,punished,stumbled,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the farmer attacked the singer who lost the ticket,After the farmer relaxed the singer who lost the ticket,for,was,attacked,relaxed,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the farmer relaxed the singer who lost the ticket,After the farmer attacked the singer who lost the ticket,was,for,attacked,relaxed,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the artist attacked the teacher who called the office,After the artist slept the teacher who called the office,for,was,attacked,slept,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the artist slept the teacher who called the office,After the artist attacked the teacher who called the office,was,for,attacked,slept,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the tourist visited the child who spoke too softly,After the tourist smiled the child who spoke too softly,for,was,visited,smiled,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the tourist smiled the child who spoke too softly,After the tourist visited the child who spoke too softly,was,for,visited,smiled,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
When the tourist killed the man who left early,When the tourist hesitated the man who left early,for,was,killed,hesitated,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the tourist hesitated the man who left early,When the tourist killed the man who left early,was,for,killed,hesitated,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
After the criminal supported the man who left early,After the criminal sighed the man who left early,for,was,supported,sighed,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the criminal sighed the man who left early,After the criminal supported the man who left early,was,for,supported,sighed,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
As the farmer photographed the gardener who paid the bill,As the farmer relaxed the gardener who paid the bill,for,was,photographed,relaxed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the farmer relaxed the gardener who paid the bill,As the farmer photographed the gardener who paid the bill,was,for,photographed,relaxed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
When the doctor visited the tourist who shouted too loud,When the doctor vanished the tourist who shouted too loud,for,was,visited,vanished,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the doctor vanished the tourist who shouted too loud,When the doctor visited the tourist who shouted too loud,was,for,visited,vanished,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
As the tourist pulled the driver who answered late,As the tourist arrived the driver who answered late,for,was,pulled,arrived,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the tourist arrived the driver who answered late,As the tourist pulled the driver who answered late,was,for,pulled,arrived,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
When the detective greeted the neighbor who left early,When the detective stumbled the neighbor who left early,for,was,greeted,stumbled,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the detective stumbled the neighbor who left early,When the detective greeted the neighbor who left early,was,for,greeted,stumbled,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
After the farmer questioned the child who answered late,After the farmer paused the child who answered late,for,was,questioned,paused,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the farmer paused the child who answered late,After the farmer questioned the child who answered late,was,for,questioned,paused,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
As the farmer attacked the child who wrote a letter,As the farmer paused the child who wrote a letter,for,was,attacked,paused,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the farmer paused the child who wrote a letter,As the farmer attacked the child who wrote a letter,was,for,attacked,paused,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
After the detective called the man who answered late,After the detective danced the man who answered late,for,was,called,danced,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the detective danced the man who answered late,After the detective called the man who answered late,was,for,called,danced,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
As the pilot followed the clerk who called the office,As the pilot slept the clerk who called the office,for,was,followed,slept,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the pilot slept the clerk who called the office,As the pilot followed the clerk who called the office,was,for,followed,slept,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the pilot followed the writer who answered late,As the pilot waited the writer who answered late,for,was,followed,waited,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the pilot waited the writer who answered late,As the pilot followed the writer who answered late,was,for,followed,waited,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
After the detective visited the tourist who waited outside,After the detective waited the tourist who waited outside,for,was,visited,waited,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the detective waited the tourist who waited outside,After the detective visited the tourist who waited outside,was,for,visited,waited,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
As the doctor frightened the gardener who left early,As the doctor laughed the gardener who left early,for,was,frightened,laughed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the doctor laughed the gardener who left early,As the doctor frightened the gardener who left early,was,for,frightened,laughed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
While the soldier grabbed the neighbor who made a mistake,While the soldier waited the neighbor who made a mistake,for,was,grabbed,waited,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the soldier waited the neighbor who made a mistake,While the soldier grabbed the neighbor who made a mistake,was,for,grabbed,waited,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
After the farmer followed the man who wrote a letter,After the farmer relaxed the man who wrote a letter,for,was,followed,relaxed,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the farmer relaxed the man who wrote a letter,After the farmer followed the man who wrote a letter,was,for,followed,relaxed,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
As the soldier blamed the clerk who broke the rule,As the soldier paused the clerk who broke the rule,for,was,blamed,paused,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
