clean,corrupted,clean_word,corrupted_word
The student with the books,The students with the book,"reads, studies","read, study"
The students with the book,The student with the books,"read, study","reads, studies"
The photograph on the tables,The photographs on the table,"shows, captures","show, capture"
The photographs on the table,The photograph on the tables,"show, capture","shows, captures"
The river between the mountains,The rivers between the mountain,"flows, is","flow, are"
The rivers between the mountain,The river between the mountains,"flow, are","flows, is"
The plant in the pots,The plants in the pot,"grows, is","grow, are"
The plants in the pot,The plant in the pots,"grow, are","grows, is"
The chair near the windows,The chairs near the window,"stands, is","stand, are"
The chairs near the window,The chair near the windows,"stand, are","stands, is"
The phone beside the laptops,The phones beside the laptop,"rings, vibrates","ring, vibrate"
The phones beside the laptop,The phone beside the laptops,"ring, vibrate","rings, vibrates"
The man with the hats,The men with the hat,"walks, is","walk, are"
The men with the hat,The man with the hats,"walk, are","walks, is"
The computer on the desks,The computers on the desk,"is, runs","are, run"
The computers on the desk,The computer on the desks,"are, run","is, runs"
The cat beside the dogs,The cats beside the dog,"sleeps, watches","sleep, watch"
The cats beside the dog,The cat beside the dogs,"sleep, watch","sleeps, watches"
The bear near the rivers,The bears near the river,"is, roams","are, roam"
The bears near the river,The bear near the rivers,"are, roam","is, roams"
The boat among the ships,The boats among the ship,"floats, is","float, are"
The boats among the ship,The boat among the ships,"float, are","floats, is"
The tree under the stars,The trees under the star,"shines, is","shine, are"
The trees under the star,The tree under the stars,"shine, are","shines, is"
